State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes
NY,7,2024,0.37,48.0,0.25,39.0,40.0,,,,237335.0,172795.0,48435.0
NY,8,2024,0.33,33.0,0.23,33.0,30.0,,,,241150.0,168036.0,54863.0
NY,9,2024,0.56,100.0,0.38,69.0,70.0,,,,253334.0,173207.0,60064.0
NY,10,2024,0.56,100.0,0.36,66.0,64.0,,,,279274.0,206206.0,37555.0
NY,11,2024,0.45,79.0,0.54,100.0,91.0,,,,274589.0,93586.0,167099.0
NY,12,2024,0.52,100.0,0.42,80.0,75.0,,,,341969.0,260165.0,62989.0
NY,13,2024,0.36,44.0,0.28,45.0,37.0,,,,241890.0,181800.0,35822.0
NY,14,2024,0.34,36.0,0.33,58.0,57.0,,,,204917.0,132714.0,59078.0
NY,15,2024,0.41,63.0,0.23,32.0,37.0,,,,188545.0,130392.0,36010.0
NY,16,2024,0.55,100.0,0.44,84.0,80.0,,,,331087.0,217668.0,86408.0
NY,17,2024,0.44,74.0,0.43,82.0,71.0,,,,393960.0,173899.0,197845.0
NY,18,2024,0.35,38.0,0.25,37.0,34.0,,,,376288.0,207106.0,155129.0
NY,19,2024,0.25,1.0,0.18,20.0,29.0,,,,389326.0,192647.0,184290.0
NY,20,2024,0.4,60.0,0.29,47.0,52.0,,,,377748.0,221997.0,141151.0
NY,21,2024,0.63,100.0,0.34,60.0,69.0,,,,360458.0,132447.0,215996.0
NY,22,2024,0.35,38.0,0.34,60.0,63.0,,,,367263.0,194450.0,161939.0
NY,23,2024,0.19,0.0,0.2,26.0,31.0,,,,397621.0,128397.0,246969.0
NY,24,2024,0.28,10.0,0.18,19.0,23.0,,,,378911.0,123317.0,235867.0
NY,25,2024,0.57,100.0,0.64,100.0,100.0,,,,379616.0,219175.0,141195.0
NY,26,2024,0.44,77.0,0.43,82.0,71.0,,,,342404.0,209131.0,111772.0
OH,1,2022,0.29,15.0,0.24,36.0,27.0,296474.0,156416.0,140058.0,391909.0,213916.0,177993.0
OH,2,2022,0.38,53.0,0.3,51.0,54.0,257862.0,65745.0,192117.0,364616.0,96401.0,268211.0
OH,3,2022,0.59,100.0,0.49,98.0,93.0,258797.0,182324.0,76455.0,342987.0,242632.0,100355.0
OH,4,2022,0.3,19.0,0.29,49.0,50.0,290156.0,89383.0,200773.0,399202.0,125905.0,273297.0
OH,5,2022,0.2,0.0,0.19,23.0,22.0,279937.0,92634.0,187303.0,378657.0,123024.0,255633.0
OH,6,2022,0.33,31.0,0.22,30.0,40.0,280383.0,90500.0,189883.0,368375.0,122515.0,245860.0
OH,7,2022,0.34,35.0,0.23,32.0,33.0,303573.0,135485.0,168002.0,400371.0,144613.0,204494.0
OH,8,2022,0.37,46.0,0.31,51.0,51.0,278916.0,98629.0,180287.0,378128.0,140625.0,237503.0
OH,9,2022,0.2,0.0,0.24,36.0,38.0,266017.0,150655.0,115362.0,375195.0,181098.0,178716.0
OH,10,2022,0.43,73.0,0.41,78.0,78.0,272961.0,104634.0,168327.0,370746.0,145420.0,213695.0
OH,11,2022,0.55,100.0,0.41,79.0,71.0,215710.0,167722.0,47988.0,302413.0,236883.0,59394.0
OH,12,2022,0.61,100.0,0.3,50.0,59.0,276237.0,84893.0,191344.0,380188.0,119738.0,260450.0
OH,13,2022,0.49,98.0,0.29,47.0,58.0,284409.0,149816.0,134593.0,386390.0,197466.0,188924.0
OH,14,2022,0.55,100.0,0.69,100.0,100.0,297028.0,113639.0,183389.0,383858.0,140431.0,243427.0
OH,15,2022,0.23,0.0,0.14,11.0,12.0,251251.0,108139.0,143112.0,347749.0,151411.0,196338.0
OH,1,2026,0.21,0.0,0.15,11.0,15.0,,,,,,
OH,2,2026,0.24,0.0,0.24,34.0,40.0,,,,,,
OH,3,2026,0.59,100.0,0.49,98.0,93.0,,,,,,
OH,4,2026,0.3,19.0,0.28,44.0,50.0,,,,,,
OH,5,2026,0.34,37.0,0.26,41.0,44.0,,,,,,
OH,6,2026,0.44,75.0,0.27,41.0,51.0,,,,,,
OH,7,2026,0.29,16.0,0.19,22.0,24.0,,,,,,
OH,8,2026,0.34,38.0,0.18,21.0,29.0,,,,,,
OH,9,2026,0.24,0.0,0.26,41.0,35.0,,,,,,
OH,10,2026,0.4,58.0,0.42,81.0,71.0,,,,,,
OH,11,2026,0.55,100.0,0.41,79.0,71.0,,,,,,
OH,12,2026,0.33,30.0,0.28,45.0,47.0,,,,,,
OH,13,2026,0.45,80.0,0.28,44.0,54.0,,,,,,
OH,14,2026,0.56,100.0,0.6,100.0,100.0,,,,,,
OH,15,2026,0.28,11.0,0.15,13.0,11.0,,,,,,
OK,1,2022,0.39,57.0,0.32,54.0,52.0,233495.0,80974.0,142800.0,312501.0,107903.0,188832.0
OK,2,2022,0.48,92.0,0.28,45.0,57.0,231672.0,54194.0,167843.0,321025.0,68841.0,238123.0
OK,3,2022,0.22,0.0,0.22,30.0,32.0,197772.0,50354.0,147418.0,1.0,0.0,1.0
OK,4,2022,0.39,55.0,0.25,38.0,48.0,224546.0,74667.0,149879.0,306473.0,86641.0,199962.0
OK,5,2022,0.47,89.0,0.35,62.0,58.0,258826.0,96799.0,152699.0,342107.0,134471.0,207636.0
OR,1,2022,0.47,89.0,0.39,73.0,66.0,310243.0,210682.0,99042.0,351991.0,241556.0,98908.0
OR,2,2022,0.4,58.0,0.39,72.0,77.0,308676.0,99882.0,208369.0,351489.0,115337.0,224601.0
OR,3,2022,0.29,15.0,0.32,55.0,57.0,303334.0,212119.0,79766.0,334369.0,226405.0,84344.0
OR,4,2022,0.38,51.0,0.25,37.0,35.0,339077.0,171372.0,146055.0,378765.0,195862.0,166430.0
OR,5,2022,0.43,72.0,0.2,26.0,35.0,351233.0,171514.0,178813.0,401293.0,191365.0,180420.0
OR,6,2022,0.47,89.0,0.36,65.0,64.0,294377.0,147156.0,139946.0,339065.0,180869.0,157634.0
PA,1,2022,0.32,29.0,0.38,71.0,63.0,367380.0,165809.0,201571.0,463432.0,202042.0,261390.0
PA,2,2022,0.33,32.0,0.44,84.0,70.0,186683.0,141229.0,45454.0,271046.0,193691.0,77355.0
PA,3,2022,0.47,86.0,0.32,56.0,53.0,263935.0,251115.0,0.0,340223.0,340223.0,0.0
PA,4,2022,0.21,0.0,0.16,16.0,26.0,366785.0,224799.0,141986.0,455523.0,269066.0,186457.0
PA,5,2022,0.36,45.0,0.25,37.0,42.0,315186.0,205128.0,110058.0,410109.0,267754.0,142355.0
PA,6,2022,0.43,72.0,0.28,45.0,48.0,326483.0,190386.0,136097.0,419263.0,235625.0,183638.0
PA,7,2022,0.46,85.0,0.4,76.0,67.0,296891.0,151364.0,145527.0,403314.0,199626.0,203688.0
PA,8,2022,0.45,79.0,0.28,44.0,50.0,286886.0,146956.0,139930.0,385074.0,189411.0,195663.0
PA,9,2022,0.47,89.0,0.27,42.0,50.0,301807.0,92622.0,209185.0,391735.0,115523.0,276212.0
PA,10,2022,0.43,71.0,0.27,42.0,45.0,314546.0,145215.0,169331.0,406001.0,200434.0,205567.0
PA,11,2022,0.37,49.0,0.35,63.0,69.0,316826.0,121835.0,194991.0,403313.0,149641.0,253672.0
PA,12,2022,0.49,96.0,0.18,19.0,44.0,328620.0,184674.0,143946.0,416228.0,234802.0,181426.0
PA,13,2022,0.46,83.0,0.36,64.0,71.0,260345.0,0.0,260345.0,406283.0,104823.0,301460.0
PA,14,2022,0.42,69.0,0.29,48.0,53.0,230865.0,0.0,230865.0,403135.0,134755.0,268380.0
PA,15,2022,0.46,84.0,0.4,74.0,78.0,305146.0,91729.0,213417.0,390435.0,111408.0,279027.0
PA,16,2022,0.46,85.0,0.42,80.0,75.0,320989.0,130443.0,190546.0,403632.0,146709.0,256923.0
PA,17,2022,0.42,68.0,0.26,39.0,47.0,362628.0,193615.0,169013.0,450738.0,242838.0,207900.0
RI,1,2022,0.29,17.0,0.27,41.0,27.0,156734.0,100318.0,56055.0,221118.0,139352.0,70742.0
RI,2,2022,0.41,65.0,0.32,56.0,54.0,201089.0,101432.0,93969.0,263480.0,153439.0,109381.0
SC,1,2022,0.29,16.0,0.15,11.0,27.0,272681.0,115796.0,153757.0,390777.0,162582.0,227502.0
SC,2,2022,0.44,77.0,0.17,18.0,37.0,246126.0,98081.0,147699.0,355285.0,142985.0,211514.0
SC,3,2022,0.43,72.0,0.35,61.0,64.0,194569.0,0.0,189971.0,346713.0,87735.0,248451.0
SC,4,2022,0.36,43.0,0.24,34.0,46.0,182365.0,0.0,165607.0,346414.0,128976.0,206916.0
SC,5,2022,0.3,18.0,0.23,32.0,43.0,241707.0,83299.0,154725.0,359409.0,130592.0,228260.0
SC,6,2022,0.37,46.0,0.08,0.0,13.0,211028.0,130923.0,79879.0,305977.0,182056.0,112360.0
SC,7,2022,0.35,38.0,0.3,49.0,52.0,253865.0,89030.0,164440.0,370329.0,129522.0,240326.0
SD,AL,2022,0.41,65.0,0.5,100.0,96.0,327841.0,0.0,253821.0,421448.0,117818.0,303630.0
TN,1,2022,0.29,14.0,0.26,40.0,48.0,188003.0,37049.0,147241.0,330199.0,64021.0,257825.0
TN,2,2022,0.39,55.0,0.16,16.0,28.0,207762.0,66673.0,141089.0,362098.0,111316.0,250782.0
TN,3,2022,0.35,40.0,0.16,14.0,27.0,199830.0,60334.0,136639.0,350328.0,102841.0,236519.0
TN,4,2022,0.23,0.0,0.19,22.0,32.0,173437.0,44648.0,122401.0,313255.0,83832.0,219133.0
TN,5,2022,0.24,0.0,0.13,8.0,12.0,221275.0,93648.0,123558.0,360714.0,142387.0,205075.0
TN,6,2022,0.3,22.0,0.24,34.0,46.0,195063.0,65675.0,129388.0,331687.0,106144.0,225543.0
TN,7,2022,0.42,69.0,0.26,41.0,50.0,180822.0,68973.0,108421.0,322656.0,122764.0,191992.0
TN,8,2022,0.56,100.0,0.28,44.0,69.0,210315.0,51102.0,155602.0,332315.0,85043.0,240411.0
TN,9,2022,0.29,17.0,0.12,4.0,19.0,133918.0,93800.0,35123.0,223703.0,159522.0,57411.0
TN,1,2026,0.29,14.0,0.26,40.0,48.0,,,,,,
TN,2,2026,0.39,55.0,0.16,16.0,28.0,,,,,,
TN,3,2026,0.32,27.0,0.21,26.0,38.0,,,,,,
TN,4,2026,0.39,56.0,0.23,33.0,42.0,,,,,,
TN,5,2026,0.17,0.0,0.08,0.0,1.0,,,,,,
TN,6,2026,0.24,0.0,0.24,34.0,52.0,,,,,,
TN,7,2026,0.28,12.0,0.26,40.0,52.0,,,,,,
TN,8,2026,0.29,18.0,0.2,24.0,37.0,,,,,,
TN,9,2026,0.14,0.0,0.13,7.0,18.0,,,,,,
TX,1,2022,0.34,37.0,0.17,17.0,31.0,234662.0,51438.0,183224.0,258523.0,0.0,258523.0
TX,2,2022,0.39,57.0,0.23,33.0,38.0,230287.0,78496.0,151791.0,326883.0,112252.0,214631.0
TX,3,2022,0.44,75.0,0.33,59.0,68.0,271256.0,100121.0,164240.0,380747.0,142953.0,237794.0
TX,4,2022,0.22,0.0,0.08,0.0,6.0,256009.0,79179.0,170781.0,353299.0,111696.0,241603.0
TX,5,2022,0.3,20.0,0.15,12.0,24.0,211965.0,71930.0,135595.0,299897.0,107712.0,192185.0
TX,6,2022,0.26,4.0,0.15,13.0,22.0,149321.0,0.0,149321.0,286438.0,98319.0,188119.0
TX,7,2022,0.22,0.0,0.09,0.0,2.0,181829.0,115994.0,65835.0,244471.0,149820.0,94651.0
TX,8,2022,0.29,16.0,0.23,32.0,31.0,224968.0,68715.0,153127.0,342177.0,108754.0,233423.0
TX,9,2022,0.43,71.0,0.16,15.0,34.0,163607.0,125446.0,38161.0,184141.0,184141.0,0.0
TX,10,2022,0.34,37.0,0.19,22.0,29.0,251937.0,86404.0,159469.0,347818.0,118280.0,221229.0
TX,11,2022,0.22,0.0,0.29,47.0,46.0,151066.0,0.0,151066.0,211975.0,0.0,211975.0
TX,12,2022,0.37,49.0,0.2,26.0,42.0,237979.0,85026.0,152953.0,339718.0,124154.0,215564.0
TX,13,2022,0.24,0.0,0.27,44.0,35.0,214677.0,52910.0,161767.0,240622.0,0.0,240622.0
TX,14,2022,0.18,0.0,0.16,15.0,15.0,213149.0,63606.0,149543.0,306195.0,95875.0,210320.0
TX,15,2022,0.13,0.0,0.12,4.0,9.0,151889.0,68097.0,80978.0,223769.0,95965.0,127804.0
TX,16,2022,0.26,6.0,0.23,32.0,39.0,150496.0,95510.0,54986.0,220828.0,131391.0,89281.0
TX,17,2022,0.25,1.0,0.14,10.0,24.0,217209.0,72801.0,144408.0,291042.0,97941.0,193101.0
TX,18,2022,0.41,66.0,0.07,0.0,11.0,156268.0,110511.0,40941.0,218720.0,151834.0,66810.0
TX,19,2022,0.46,85.0,0.52,100.0,87.0,189681.0,0.0,152321.0,266375.0,0.0,214950.0
TX,20,2022,0.45,80.0,0.13,7.0,26.0,168599.0,115352.0,53226.0,157890.0,157890.0,0.0
TX,21,2022,0.36,46.0,0.3,49.0,59.0,330081.0,122655.0,207426.0,426423.0,153765.0,263744.0
TX,22,2022,0.37,49.0,0.16,16.0,27.0,241215.0,85653.0,150014.0,336889.0,127604.0,209285.0
TX,23,2022,0.24,0.0,0.19,23.0,34.0,208776.0,80947.0,116649.0,290093.0,109373.0,180720.0
TX,24,2022,0.23,0.0,0.11,3.0,24.0,297825.0,119878.0,177947.0,376626.0,149518.0,227108.0
TX,25,2022,0.4,60.0,0.26,39.0,43.0,185270.0,0.0,185270.0,264703.0,0.0,263042.0
TX,26,2022,0.35,41.0,0.15,13.0,25.0,265023.0,0.0,183639.0,388427.0,138558.0,241096.0
TX,27,2022,0.49,96.0,0.37,68.0,64.0,207027.0,73611.0,133416.0,278576.0,94596.0,183980.0
TX,28,2022,0.28,13.0,0.21,28.0,27.0,165581.0,93803.0,71778.0,237298.0,125280.0,112018.0
TX,29,2022,0.3,20.0,0.09,0.0,12.0,100602.0,71837.0,28765.0,152209.0,99379.0,52830.0
TX,30,2022,0.36,44.0,0.19,23.0,39.0,180513.0,134876.0,39209.0,232825.0,197650.0,0.0
TX,31,2022,0.49,96.0,0.2,24.0,41.0,183185.0,0.0,183185.0,355557.0,126470.0,229087.0
TX,32,2022,0.22,0.0,0.08,0.0,1.0,177499.0,116005.0,61494.0,232464.0,140536.0,85941.0
TX,33,2022,0.2,0.0,0.04,0.0,1.0,114030.0,82081.0,29203.0,166153.0,114289.0,51864.0
TX,34,2022,0.43,74.0,0.28,44.0,49.0,134439.0,70896.0,59464.0,200383.0,102780.0,97603.0
TX,35,2022,0.08,0.0,0.08,0.0,1.0,178568.0,129599.0,48969.0,253119.0,170509.0,82610.0
TX,36,2022,0.35,39.0,0.25,37.0,45.0,209615.0,64016.0,145599.0,297018.0,91009.0,206009.0
TX,37,2022,0.42,70.0,0.16,14.0,35.0,285789.0,219358.0,59923.0,340857.0,252980.0,80366.0
TX,38,2022,0.39,57.0,0.13,7.0,22.0,259869.0,92302.0,163597.0,342764.0,127640.0,215030.0
TX,1,2026,0.43,73.0,0.2,26.0,40.0,,,,,,
TX,2,2026,0.43,71.0,0.17,18.0,29.0,,,,,,
TX,3,2026,0.23,0.0,0.22,31.0,50.0,,,,,,
TX,4,2026,0.19,0.0,0.11,2.0,13.0,,,,,,
TX,5,2026,0.31,23.0,0.19,22.0,42.0,,,,,,
TX,6,2026,0.4,59.0,0.26,41.0,49.0,,,,,,
TX,7,2026,0.18,0.0,0.11,2.0,3.0,,,,,,
TX,8,2026,0.34,37.0,0.14,10.0,15.0,,,,,,
TX,9,2026,0.46,84.0,0.34,60.0,52.0,,,,,,
TX,10,2026,0.21,0.0,0.15,12.0,19.0,,,,,,
TX,11,2026,0.18,0.0,0.2,26.0,29.0,,,,,,
TX,12,2026,0.41,66.0,0.28,46.0,56.0,,,,,,
TX,13,2026,0.24,0.0,0.28,45.0,37.0,,,,,,
TX,14,2026,0.17,0.0,0.14,10.0,4.0,,,,,,
TX,15,2026,0.19,0.0,0.14,9.0,12.0,,,,,,
TX,16,2026,0.32,29.0,0.29,48.0,49.0,,,,,,
TX,17,2026,0.42,69.0,0.24,35.0,38.0,,,,,,
TX,18,2026,0.27,9.0,0.2,26.0,24.0,,,,,,
TX,19,2026,0.46,85.0,0.52,100.0,87.0,,,,,,
TX,20,2026,0.25,2.0,0.14,11.0,31.0,,,,,,
TX,21,2026,0.4,58.0,0.3,49.0,59.0,,,,,,
TX,22,2026,0.48,91.0,0.2,26.0,45.0,,,,,,
TX,23,2026,0.25,0.0,0.21,28.0,37.0,,,,,,
TX,24,2026,0.27,6.0,0.19,23.0,36.0,,,,,,
TX,25,2026,0.39,55.0,0.27,43.0,44.0,,,,,,
TX,26,2026,0.37,47.0,0.16,14.0,27.0,,,,,,
TX,27,2026,0.37,49.0,0.14,9.0,18.0,,,,,,
TX,28,2026,0.4,60.0,0.29,48.0,47.0,,,,,,
TX,29,2026,0.46,83.0,0.23,33.0,46.0,,,,,,
TX,30,2026,0.28,14.0,0.34,59.0,58.0,,,,,,
TX,31,2026,0.47,88.0,0.31,52.0,61.0,,,,,,
TX,32,2026,0.14,0.0,0.16,15.0,28.0,,,,,,
TX,33,2026,0.25,0.0,0.11,2.0,4.0,,,,,,
TX,34,2026,0.37,47.0,0.32,56.0,60.0,,,,,,
TX,35,2026,0.47,87.0,0.31,52.0,51.0,,,,,,
TX,36,2026,0.29,16.0,0.13,9.0,15.0,,,,,,
TX,37,2026,0.44,77.0,0.22,29.0,43.0,,,,,,
TX,38,2026,0.35,39.0,0.2,26.0,30.0,,,,,,
UT,1,2022,0.36,44.0,0.44,84.0,78.0,266420.0,87986.0,178434.0,365895.0,117319.0,230975.0
UT,2,2022,0.5,100.0,0.38,69.0,66.0,259399.0,88224.0,154883.0,353838.0,121114.0,205234.0
UT,3,2022,0.46,83.0,0.27,43.0,51.0,283380.0,83687.0,182497.0,365276.0,122780.0,242496.0
UT,4,2022,0.47,88.0,0.29,46.0,46.0,254059.0,82181.0,155110.0,363668.0,109838.0,230627.0
UT,1,2026,0.41,66.0,0.4,74.0,70.0,,,,,,
UT,2,2026,0.37,47.0,0.39,73.0,75.0,,,,,,
UT,3,2026,0.43,73.0,0.36,65.0,60.0,,,,,,
UT,4,2026,0.56,100.0,0.56,100.0,100.0,,,,,,
VA,1,2022,0.41,63.0,0.2,26.0,37.0,342742.0,147229.0,191828.0,478906.0,208445.0,269657.0
VA,2,2022,0.22,0.0,0.2,25.0,20.0,296996.0,143219.0,153328.0,408702.0,191666.0,207368.0
VA,3,2022,0.42,69.0,0.32,56.0,50.0,207850.0,139659.0,67668.0,314397.0,219926.0,93801.0
VA,4,2022,0.49,97.0,0.29,49.0,61.0,244978.0,159044.0,85503.0,375508.0,252885.0,121814.0
VA,5,2022,0.46,84.0,0.35,64.0,70.0,307790.0,129996.0,177191.0,435839.0,184229.0,249564.0
VA,6,2022,0.23,0.0,0.21,27.0,35.0,269234.0,95410.0,173352.0,407035.0,141612.0,256933.0
VA,7,2022,0.32,26.0,0.21,27.0,34.0,274590.0,143357.0,130586.0,397299.0,203336.0,192847.0
VA,8,2022,0.4,59.0,0.31,54.0,55.0,268936.0,197760.0,66589.0,383915.0,274593.0,94676.0
VA,9,2022,0.17,0.0,0.18,19.0,36.0,248792.0,66027.0,182207.0,400963.0,109570.0,290645.0
VA,10,2022,0.48,94.0,0.29,46.0,52.0,296145.0,157405.0,138163.0,413012.0,215131.0,196343.0
VA,11,2022,0.54,100.0,0.27,43.0,53.0,289676.0,193190.0,95634.0,410186.0,273529.0,134802.0
VT,AL,2022,0.42,69.0,0.37,67.0,64.0,291955.0,176494.0,78397.0,372885.0,218398.0,0.0
WA,1,2022,0.36,43.0,0.15,12.0,26.0,286684.0,181992.0,104329.0,360658.0,227213.0,132538.0
WA,2,2022,0.33,30.0,0.27,43.0,50.0,337923.0,202980.0,134335.0,413220.0,263750.0,148167.0
WA,3,2022,0.36,43.0,0.38,70.0,66.0,319759.0,160314.0,157685.0,415904.0,215177.0,199054.0
WA,4,2022,0.4,58.0,0.22,30.0,39.0,226647.0,70710.0,150619.0,295052.0,0.0,289652.0
WA,5,2022,0.58,100.0,0.53,100.0,89.0,317006.0,127585.0,188648.0,397286.0,156074.0,240619.0
WA,6,2022,0.46,83.0,0.48,94.0,79.0,347873.0,208710.0,138754.0,422622.0,239687.0,182182.0
WA,7,2022,0.37,48.0,0.39,72.0,64.0,346647.0,295998.0,49207.0,419819.0,352286.0,66220.0
WA,8,2022,0.47,89.0,0.25,36.0,49.0,336038.0,179003.0,155976.0,416277.0,224607.0,190675.0
WA,9,2022,0.45,78.0,0.23,33.0,47.0,239848.0,171746.0,67631.0,279298.0,273381.0,0.0
WA,10,2022,0.28,10.0,0.24,36.0,47.0,267748.0,152544.0,114777.0,348044.0,203732.0,143492.0
WI,1,2022,0.24,0.0,0.27,41.0,60.0,300867.0,135825.0,162610.0,393493.0,172402.0,212515.0
WI,2,2022,0.58,100.0,0.39,72.0,77.0,378537.0,268740.0,101890.0,457257.0,320317.0,136357.0
WI,3,2022,0.31,25.0,0.18,19.0,19.0,317922.0,152977.0,164743.0,413181.0,200808.0,212064.0
WI,4,2022,0.21,0.0,0.25,38.0,44.0,255012.0,191955.0,57660.0,334282.0,249938.0,74921.0
WI,5,2022,0.56,100.0,0.37,67.0,74.0,378523.0,134581.0,243741.0,466682.0,165653.0,300521.0
WI,6,2022,0.33,30.0,0.29,47.0,56.0,251999.0,0.0,239231.0,411349.0,159042.0,251889.0
WI,7,2022,0.42,70.0,0.26,40.0,44.0,338268.0,128877.0,209224.0,430384.0,156524.0,273553.0
WI,8,2022,0.37,50.0,0.34,60.0,57.0,310196.0,0.0,223981.0,418978.0,178666.0,240040.0
WV,1,2022,0.37,48.0,0.25,37.0,49.0,227196.0,65428.0,151511.0,344319.0,90038.0,228491.0
WV,2,2022,0.21,0.0,0.13,8.0,9.0,244886.0,84278.0,160493.0,378965.0,110775.0,268190.0
WY,AL,2022,0.55,100.0,0.73,100.0,100.0,198198.0,47250.0,132206.0,271123.0,60778.0,184680.0
