ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,773585,459821,115580,149917,48631,13847,1402,604707,381282,76390,107906,36302,9840,979,295139,180873,108076,402401,247673,149308
2,2,773584,494194,134110,106165,35010,16672,1509,616758,415583,91163,77944,26215,12116,1032,303242,140199,156048,410267,192116,212723
3,3,773586,491248,87333,113155,75966,11462,1205,614191,404599,60160,87116,56304,8355,861,328184,177465,144280,440507,248448,186277
4,4,773586,622261,79615,35144,25309,9370,710,589130,482913,53575,24859,19149,6746,499,314584,115960,192347,428872,163477,259866
5,5,773585,457907,125578,56183,133911,9046,1034,610580,373723,91062,42867,101764,6469,804,322139,173600,142137,432502,240337,186713
6,6,773586,323138,189896,102923,157258,12083,1179,611210,276011,134818,77733,120399,8782,912,250095,145394,98940,334105,197763,131984
7,7,773584,547950,94192,48691,74242,8849,863,609441,447713,65743,35818,53000,6405,599,350711,163809,178584,462052,235720,218813
8,8,773584,192335,394709,90811,99570,17962,1738,611790,164003,299470,68409,81566,13668,1364,176772,134021,39106,239751,172263,64970
9,9,773584,295557,321423,88057,77759,15691,1314,601128,245792,234804,65585,60860,11499,959,225835,137288,83916,315008,185789,125877
10,10,773584,145060,164996,413874,55759,11889,1514,597968,121366,120022,315201,44871,8731,1171,221244,180562,37271,292250,236302,53598
11,11,773584,476809,127683,62124,103444,8804,906,609524,390025,92745,47561,75748,6346,669,327047,181866,139076,437004,252518,179005
12,12,773584,308278,166222,139348,160007,12190,1245,604883,263386,116047,106823,117700,8700,953,268282,171848,90727,354634,235929,114140