ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,770539,460305,75892,31625,178364,20464,7298,593722,373624,50326,20770,129082,14498,4801,349926,213926,129649,395248,250883,130736,286688,181994,104331,374405,232693,126087,360662,227215,132540
2,2,770531,531835,95062,32223,72744,35234,8335,616048,446927,62187,21414,55295,25320,5590,389151,227130,155594,440519,263078,162799,337923,202980,134335,425118,254400,154441,413220,263750,148167
3,3,770527,579867,84867,24065,42531,31750,10938,593925,465423,52832,15005,30294,23030,6898,361909,168263,188278,423505,196207,213882,319759,160314,157685,424203,197986,211907,415904,215177,199054
4,4,770535,393571,306171,14219,21053,43482,3385,557178,316389,191355,8418,14419,29606,2136,283534,112768,167128,324983,130115,184877,226647,70710,150619,312324,119032,183219,0,0,0
5,5,770526,607710,64444,24683,31065,36850,8370,610022,494864,43070,16200,22775,26457,5337,368592,161092,201747,418124,180837,222219,317006,127585,188648,405822,173909,217375,397286,156074,240619
6,6,770523,555780,69642,42922,56081,42773,13778,625068,470242,46402,30269,41153,30543,8983,393130,219442,166846,447088,253642,177181,347873,208710,138754,436320,251826,168264,422622,239687,182182
7,7,770521,481700,72968,53094,141885,20244,7074,652826,421072,55585,39018,118537,15992,5017,421805,358759,57992,459934,396920,51406,346647,295998,49207,437624,373392,47188,419819,352286,66220
8,8,770512,532695,80954,27254,97429,26705,8955,581338,423082,51406,16833,65310,18705,5553,384659,192213,186191,438960,226805,197513,336034,179001,155974,428594,218292,193707,416273,224605,190673
9,9,770536,312787,109699,114467,209762,22050,19940,602935,267554,74132,79981,160912,16673,13229,313739,220982,88500,358038,254217,94118,239848,171746,67631,320605,219426,88121,0,0,0
10,10,770531,462570,99514,81688,88932,34081,26116,591627,379327,63379,53582,64111,23730,16130,329352,184421,138807,381232,216908,149920,267748,152544,114777,359228,204893,140614,348044,203732,143492